OriginalOrderInBatch,ExternalSampleID,Skull length,Weight,Length,Basename,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,SpeciesLatinName,SpeciesCommonName,Tissue,Female,Folder,PlateNumber,WellAddress,PlateName,DNA.Concentration,DNA.Volume,AnimalID,Outlier,Sex,TeethClass,AgeInMonths,Trapping.year,Location,ClusteringBranch,TissueColor,ClusteringColor,predictedFemale,errorFemale,predictedTissue,TailLiverIndicator,FetusIndicator,branchSNP,branchSNP.dist,branchSNP.cor,ConfirmedBySNP,DNAmAgeBasedOnRelativeAge,DNAmAgeBasedOnLogliAge,train,DNAmAgebasedOnAll,AgeAccelbasedOnAll,AgeAccelinTestbasedOnAll,DNAmAgeLOO,AgeAccelLOO
38,SC003T,19.29,5,58,205483080010_R02C01,0.333333333,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,F05,ET0029-CF0021,49.5,20,SC003,,F,2,4,2020,Sandy Cove Nova Scotia,3,brown,green,1,0,Tail,1,0,10,10,10,yes,0.364290001,0.204848605,1,0.375784339,-0.018503217,NA,0.346199302,-0.072981775
39,SC004T,19.32,5,61,205483080010_R03C01,0.25,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,G05,ET0029-CF0021,89.5,20,SC004,,M,2,3,2020,Sandy Cove Nova Scotia,3,brown,green,0,0,Tail,1,0,11,11,11,yes,0.306396564,0.279085592,1,0.376731479,-0.049343614,NA,0.335533443,-0.111643015
40,LI001T,17.46,5,54,205483080010_R04C01,1.25,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,H05,ET0029-CF0021,93.6,20,LI001,,M,4,15,2020,Long Island Nova Scotia,1,brown,brown,0,0,Tail,1,0,2,6,5,yes,0.623182939,0.963571647,1,1.102809973,0.009196588,NA,1.034314527,-0.000764942
41,LI002T,17.52,5,53,205483080010_R05C01,1.083333333,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,A06,ET0029-CF0021,71.9,20,LI002,,F,4,13,2020,Long Island Nova Scotia,1,brown,brown,1,0,Tail,1,0,6,12,12,yes,0.466485682,0.704437368,1,0.927448199,-0.039015035,NA,0.821055734,-0.102042209
42,LI003T,17.95,4,53,205483080010_R06C01,0.375,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,B06,ET0029-CF0021,50.9,20,LI003,,F,2,4.5,2020,Long Island Nova Scotia,1,brown,brown,1,0,Tail,1,0,0,2,0,yes,0.375862501,0.408349492,1,0.41106414,-0.015010954,NA,0.406034419,-0.041142039
43,LI004T,16.78,4,50,205483080010_R01C02,1.083333333,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,C06,ET0029-CF0021,83.8,20,LI004,,M,4,13,2020,Long Island Nova Scotia,1,brown,brown,0,0,Tail,1,0,2,1,1,yes,0.606008985,0.671417711,1,1.049588241,0.083125008,NA,1.08809813,0.165000187
44,LI005T,17.14,4,44,205483080010_R02C02,1.25,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,D06,ET0029-CF0021,63.6,20,LI005,,M,4,15,2020,Long Island Nova Scotia,1,brown,brown,0,0,Tail,1,0,1,1,1,yes,0.559726044,0.693600256,1,1.093503774,-0.00010961,NA,1.0696184,0.034538931
45,LI002_FET1,NA,NA,NA,205483080010_R03C02,-0.04,90,yes,Sorex cinereus,Cinereus shrew,Fetus,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,E06,ET0029-CF0021,64.4,20,LI002-F1,,F,0,0,2020,Long Island Nova Scotia,4,turquoise,turquoise,1,0,Fetus,NA,1,3,3,6,yes,0.327751675,0.384888315,1,0.093394697,-0.016076521,NA,0.148797317,-0.019545142
46,LI002_FET2,NA,NA,NA,205483080010_R04C02,-0.04,90,yes,Sorex cinereus,Cinereus shrew,Fetus,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,F06,ET0029-CF0021,50.1,20,LI002-F2,,M,0,0,2020,Long Island Nova Scotia,4,turquoise,turquoise,1,1,Fetus,NA,1,3,3,6,yes,0.324544129,0.35997761,1,0.057433941,-0.052037278,NA,0.034702893,-0.133639566
47,LI002_FET3,NA,NA,NA,205483080010_R05C02,-0.04,90,no,Sorex cinereus,Cinereus shrew,Fetus,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,G06,ET0029-CF0021,90.5,20,LI002-F3,MaybeMixedMaternalTissue,F,0,0,2020,Long Island Nova Scotia,4,turquoise,turquoise,1,0,Fetus,NA,1,3,3,0,yes,0.205062807,0.299782728,1,0.227188655,0.117717436,NA,0.510062718,0.341720259
48,LI002_FET4,NA,NA,NA,205483080010_R06C02,-0.04,90,yes,Sorex cinereus,Cinereus shrew,Fetus,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,H06,ET0029-CF0021,67.6,20,LI002-F4,,M,0,0,2020,Long Island Nova Scotia,4,turquoise,turquoise,1,0,Fetus,NA,1,3,3,6,yes,0.198933912,0.149545017,1,-0.048113958,-0.157585177,NA,-0.186326994,-0.354669453
