"sampleid","age","tooth_type","species","cc","published","publication","notes","collection_date"
"ANGB112",2,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-08
"ANGB117",1,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2016-01-08
"ANGB130",1,"upper left canine","Eidolon_dupreanum","A","no",NA,"age inferred from 1 tooth",2018-02-14
"ANGB131",1,"lower left canine","Eidolon_dupreanum","A","no",NA,"age inferred from 1 tooth",2018-02-14
"ANGB132",4,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2018-02-14
"ANGB135",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-04-09
"ANGB142",1,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-04-09
"ANGB143",3,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"ANGB147",5,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"ANGB156",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB157",8,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB158",8,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-09-09
"ANGB159",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB160",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB161",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB162",4,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB2",1,"lower left canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2013-11-23
"ANGB4",5,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2013-11-23
"ANGB42",3,"lower right premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2014-10-04
"ANGB48",2.5,"multiple","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from multiple teeth",2014-12-14
"ANGB5",7.5,"multiple","Eidolon_dupreanum","B","yes","Brook et al. 2019","age inferred from multiple teeth",2013-11-23
"ANGB52",1,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-12-14
"ANGB53",2,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-12-14
"ANGB6",1,"lower right canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2013-11-23
"ANGB67",3,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-04-27
"ANGB7",1,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2013-11-23
"ANGB77",1,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-04-27
"ANGB79",1,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-04-27
"ANGB8",1,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2013-11-23
"ANGB81",12,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-04-27
"ANGB82",9.5,"multiple","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from multiple teeth",2015-04-27
"ANGB83",3,"upper left canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2015-04-27
"ANGB84",2.75,"multiple","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from multiple teeth",2015-04-27
"ANGB85",11,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-06-22
"ANGB86",10,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-06-22
"ANGB88",1,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-06-22
"ANGB9",1,"lower right canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2013-11-23
"ANGB90",3,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-06-22
"ANGB91",11,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-06-22
"ANGB92",1,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-06-22
"ANGB93",11,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-06-22
"ATS1",6.5,"multiple","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from multiple teeth",2014-08-01
"ATS2",2.5,"multiple","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from multiple teeth",2014-08-01
"CAT017",3,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-04
"CAT018",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-04
"CAT019",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-04
"CAT021",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-04
"CAT026",1,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-05
"CAT027",3,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-05
"CAT032",4,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-05
"CAT034",3,"lower right premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-05
"CAT035",2,"lower right premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-05
"CAT036",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-05
"CAT037",10,"lower right premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-05
"CDG221",0.5,"multiple","Rousettus_madagascariensis","A","yes","Brook et al. 2019","age inferred from multiple teeth",NA
"CDG222",1.5,"multiple","Rousettus_madagascariensis","A","yes","Brook et al. 2019","age inferred from multiple teeth",NA
"CDG223",3,"upper left canine","Rousettus_madagascariensis","A","yes","Brook et al. 2019","age inferred from 1 tooth",NA
"CDG227",0.5,"multiple","Rousettus_madagascariensis","B","yes","Brook et al. 2019","age inferred from multiple teeth",NA
"CDG234",0.5,"multiple","Rousettus_madagascariensis","A","yes","Brook et al. 2019","age inferred from multiple teeth",NA
"CDG238",5.5,"multiple","Rousettus_madagascariensis","A","yes","Brook et al. 2019","age inferred from multiple teeth",NA
"CDG239",0.5,"multiple","Rousettus_madagascariensis","B","yes","Brook et al. 2019","age inferred from multiple teeth",NA
"EMA1",3,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-07-13
"EMA12",6,"lower right canine","Eidolon_dupreanum","B","yes","Brook et al. 2019","age inferred from 1 tooth",2014-07-14
"EMA2",1,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-07-13
"EMA3",1,"lower right premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2014-07-13
"KEL119",12,"upper left canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2015-04-28
"KEL120",6,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-06-24
"KEL122",3,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-06-24
"KEL123",7,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-06-24
"KEL124",6,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-06-24
"KEL125",3,"lower left premolar","Eidolon_dupreanum","C","yes","Brook et al. 2019","age from 1 tooth",2015-06-24
"KEL126",4,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-06-24
"KEL127",3,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-06-24
"KEL133",4.5,"multiple","Eidolon_dupreanum","B","yes","Brook et al. 2019","age inferred from multiple teeth",2016-01-10
"KEL134",3,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-10
"KEL135",2,"upper left canine","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-10
"KEL139",1,"lower right canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2016-01-10
"KEL147",2,"upper right canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2016-01-10
"KEL172",2.5,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2018-02-15
"KEL173",5.25,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2018-02-15
"KEL177",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-02-16
"KEL178",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-02-16
"KEL185",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-04-10
"KEL186",5,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-04-10
"KEL187",5,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-04-10
"KEL188",4,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-04-10
"KEL198",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-04-10
"KEL213",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"KEL217",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-07-27
"KEL218",2,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"KEL219",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"KEL222",7,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-07-27
"KEL227",4,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
